Unit_Name,Weapon_Ability,Core,Faction,Standard,Wargear,Cost,Bodygaurd
'Iron Hand' Straken,"[""Weapon"", ""*""]","[""CORE"", "" Leader"", "" Scouts 6""]","[""FACTION"", "" Voice of Command""]","[[""Cold Steel and Courage:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [LETHAL HITS] ability.""], [""Been There, Seen it, Killed it:"", "" Each time this model makes a melee attack, if it made a Charge move this turn, you can re-roll the Hit roll and you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""55""]]","[""CATACHAN JUNGLE FIGHTERS""]"
Cadian Castellan,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Senior Officer:"", "" While this model is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Get Back in the Fight:"", "" While this model is leading a unit, that unit is eligible to shoot in a turn in which it Fell Back.""]]","[[""Wargear"", ""*""]]","[[""1"", ""45""]]","[""CADIAN SHOCK TROOPS"", ""INFANTRY SQUAD"", ""KASRKIN""]"
Cadian Command Squad,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Cadia Stands!:"", "" While this unit contains a CADIAN OFFICER, you can ignore any or all modifiers to the characteristics of models in this unit and to any roll or test made for models in this unit (excluding modifiers to saving throws).""]]","[[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""], [""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""], [""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]","[[""5"", ""65""]]","[""CADIAN SHOCK TROOPS""]"
Commissar,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Summary Execution:"", "" Once per battle round, at the start of any phase, you can select one friendly ASTRA MILITARUM INFANTRY unit that is Battle-shocked and within 12\"" of this model. If you do, one model in that unit is destroyed, and that unit is then no longer Battle-shocked.""], [""Political Overwatch:"", "" While another OFFICER model is in the same unit as this model, you can re-roll Battle-shock tests taken for that unit.""]]","[[""Wargear"", ""*""]]","[[""1"", ""30""]]","[""CADIAN SHOCK TROOPS"", ""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""KASRKIN"", ""TEMPESTUS SCIONS"", ""DEATH KORPS GRENADIER SQUAD""]"
Gaunt's Ghosts,"[""Weapon"", ""*""]","[""CORE"", "" Fights First"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]","[""FACTION"", "" Voice of Command""]","[[""Tanith Camo-cloaks:"", "" Each time a ranged attack targets this unit, models in this unit have the Benefit of Cover against it.""], [""Covert Stealth Team:"", "" At the end of your opponent's turn, if this unit is not within Engagement Range of one or more enemy units, you can remove this unit from the battlefield. In the Reinforcements step of your next Movement phase, set it up anywhere on the battlefield that is more than 9\"" horizontally away from all enemy models.""]]","[[""Wargear"", ""*""]]","[[""6"", ""100""]]"
Lord Solar Leontus,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""The Lord Solar:"", "" At the start of your Command phase, If this model is on the battlefield, you gain 1CP.""], [""The Collegiate Astrolex:"", "" After both players have deployed their armies, select up to three ASTRA MILITARUM units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves if you wish, regardless of how many units are already in Strategic Reserves.""]]","[[""Wargear"", ""*""]]","[[""1"", ""125""]]","[""ATTILAN ROUGH RIDERS"", ""CADIAN SHOCK TROOPS"", ""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""KASRKIN"", ""DEATH KORPS GRENADIER SQUAD""]"
Militarum Tempestus Command Squad,"[""Weapon"", ""*""]","[""CORE"", "" Deep Strike"", "" Leader""]","[""Faction"", ""*""]","[[""Tempestor Prime:"", "" While this unit contains a TEMPESTOR PRIME, ranged weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]]","[[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""], [""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""], [""Command Rod:"", "" While the bearer is leading a unit, that unit can be affected by up to two different Orders at the same time.""], [""Master Vox:"", "" Each time the Officer in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away. ORDERS This unit's Officer can issue 1 Order to a REGIMENT unit.""]]","[[""5"", ""80""]]","[""TEMPESTUS SCIONS""]"
Platoon Command Squad,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Command Structure (Aura):"", "" While a friendly PLATOON unit is within 6\"" of this unit's Platoon Commander, you can target that unit with Stratagems even while it is Battle-shocked.""]]","[[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""], [""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""], [""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]","[[""4-5"", ""60""]]","[""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""DEATH KORPS GRENADIER SQUAD""]"
Primaris Psyker,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""Faction"", ""*""]","[[""Malign Wardings(Psychic):"", "" While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against Psychic Attacks.""], [""Psychic Barrier (Psychic):"", "" At the start of your opponent's Shooting phase, you can roll one D6: on a 1, this PSYKER's unit suffers D3 mortal wounds; on a 2+, until the end of the phase, models in this PSYKER's unit have a 4+ invulnerable save.""]]","[[""Wargear"", ""*""]]","[[""1"", ""60""]]","[""CADIAN SHOCK TROOPS"", ""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""KASRKIN"", ""TEMPESTUS SCIONS"", ""DEATH KORPS GRENADIER SQUAD""]"
Regimental Enginseer,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""Faction"", ""*""]","[[""Enginseer:"", "" While this model is within 3\"" of one or more friendly ASTRA MILITARUM VEHICLE units, this model has the Lone Operative ability.Omnissiah's Blessing: In your Command phase, select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds and, until the start of your next Command phase, that VEHICLE model has a 4+ invulnerable save. Each model can only be selected for this ability once per turn.""], [""Omnissiah's Blessing:"", "" If a friendly ASTRA MILITARUM VEHICLE model is destroyed within 12\"" of this model, until the end of the battle, this model's Enginseer axe has an Attacks characteristic of 6.""], [""Vengeance for the Omnissiah:"", ""add""]]","[[""Wargear"", ""*""]]","[[""1"", ""45""]]","[""CADIAN SHOCK TROOPS"", ""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""KASRKIN"", ""MUNITORUM SERVITORS"", ""DEATH KORPS GRENADIER SQUAD""]"
Regimental Preacher,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""Faction"", ""*""]","[[""War Hymns:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Holy Piety:"", "" Each time this model makes a melee attack, unless this model's unit is Battle-shocked, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""35""]]","[""CADIAN SHOCK TROOPS"", ""CATACHAN JUNGLE FIGHTERS"", ""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""KASRKIN"", ""TEMPESTUS SCIONS"", ""DEATH KORPS GRENADIER SQUAD""]"
Sergeant Harker,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 6+"", "" Leader"", "" Scouts 6""]","[""FACTION"", "" Voice of Command""]","[[""Harker's Hellraisers:"", ""Harker's Hellraisers: While this model is leading a unit, each time a ranged attack targets that unit, if the attacking model is more than 12\"" away, subtract 1 from the Hit roll.""], [""Payback Time:"", "" Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Payback weapon has an Attacks characteristic of 6 and the [SUSTAINED HITS 3] ability instead of the [SUSTAINED HITS 1] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""40""]]","[""CATACHAN JUNGLE FIGHTERS""]"
Sly Marbo,"[""Weapon"", ""*""]","[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]","[""Faction"", ""*""]","[[""One-man Army:"", "" Each time an enemy unit targets a friendly ASTRA MILITARUM unit within 3\"" of this model with ranged attacks, after that enemy unit has finished making its attacks, this model can shoot as if it were your Shooting phase.""], [""Like Fighting a Shadow:"", "" Each time this model has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move as if it were your Movement phase. If it does, until the end of the turn, this model is not eligible to declare a charge.""]]","[[""Wargear"", ""*""]]","[[""1"", ""65""]]"
Tank Commander,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""FACTION"", "" Voice of Command""]","[[""Vox-net:"", "" Each time this model issues an Order, it can issue it to an eligible unit up to 12\"" away.""], [""Death Befitting An Officer:"", "" When this model is destroyed , roll one D6: on a 2+, do not remove it from play - it can, after the attacking model's unit has finished making its attacks, shoot as if it were your Shooting phase and as if it had its full wounds remaining. This model is then removed from play.""]]","[[""Wargear"", ""*""]]","[[""1"", ""205""]]"
