Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
'Iron Hand' Straken,"[[""CORE"", "" Leader"", "" Scouts 6""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Cold Steel and Courage:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [LETHAL HITS] ability.""], [""Been There, Seen it, Killed it:"", "" Each time this model makes a melee attack, if it made a Charge move this turn, you can re-roll the Hit roll and you can re-roll the Wound roll.""]]]","[[[""1"", ""55""]]]","[[""Catachan Jungle Fighters""]]"
Cadian Castellan,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Senior Officer:"", "" While this model is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Get Back in the Fight:"", "" While this model is leading a unit, that unit is eligible to shoot in a turn in which it Fell Back.""]]]","[[[""1"", ""45""]]]","[[""Cadian Shock Troops"", ""Infantry Squad"", ""Kasrkin""]]"
Cadian Command Squad,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Cadia Stands!:"", "" While this unit contains a CADIAN OFFICER, you can ignore any or all modifiers to the characteristics of models in this unit and to any roll or test made for models in this unit (excluding modifiers to saving throws).""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]]","[[[""5"", ""65""]]]","[[""Cadian Shock Troops""]]"
Commissar,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Summary Execution:"", "" Once per battle round, at the start of any phase, you can select one friendly ASTRA MILITARUM INFANTRY unit that is Battle-shocked and within 12\"" of this model. If you do, one model in that unit is destroyed, and that unit is then no longer Battle-shocked.""], [""Political Overwatch:"", "" While another OFFICER model is in the same unit as this model, you can re-roll Battle-shock tests taken for that unit.""]]]","[[[""1"", ""30""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Gaunt's Ghosts,"[[""CORE"", "" Fights First"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Tanith Camo-cloaks:"", "" Each time a ranged attack targets this unit, models in this unit have the Benefit of Cover against it.""], [""Covert Stealth Team:"", "" At the end of your opponent's turn, if this unit is not within Engagement Range of one or more enemy units, you can remove this unit from the battlefield. In the Reinforcements step of your next Movement phase, set it up anywhere on the battlefield that is more than 9\"" horizontally away from all enemy models.""]]]","[[[""6"", ""100""]]]",[]
Lord Solar Leontus,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""The Lord Solar:"", "" At the start of your Command phase, If this model is on the battlefield, you gain 1CP.""], [""The Collegiate Astrolex:"", "" After both players have deployed their armies, select up to three ASTRA MILITARUM units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves if you wish, regardless of how many units are already in Strategic Reserves.""]]]","[[[""1"", ""125""]]]","[[""Attilan Rough Riders"", ""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Death Korps Grenadier Squad""]]"
Militarum Tempestus Command Squad,"[[""CORE"", "" Deep Strike"", "" Leader""]]",[],[],"[[[""Tempestor Prime:"", "" While this unit contains a TEMPESTOR PRIME, ranged weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]], [[""Command Rod:"", "" While the bearer is leading a unit, that unit can be affected by up to two different Orders at the same time.""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]]]","[[[""5"", ""80""]]]","[[""Tempestus Scions""]]"
Platoon Command Squad,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Command Structure (Aura):"", "" While a friendly PLATOON unit is within 6\"" of this unit's Platoon Commander, you can target that unit with Stratagems even while it is Battle-shocked.""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]]","[[[""4-5"", ""60""]]]","[[""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Primaris Psyker,"[[""CORE"", "" Leader""]]",[],[],"[[[""Malign Wardings(Psychic):"", "" While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against Psychic Attacks.""], [""Psychic Barrier (Psychic):"", "" At the start of your opponent's Shooting phase, you can roll one D6: on a 1, this PSYKER's unit suffers D3 mortal wounds; on a 2+, until the end of the phase, models in this PSYKER's unit have a 4+ invulnerable save.""]]]","[[[""1"", ""60""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Regimental Enginseer,"[[""CORE"", "" Leader""]]",[],[],"[[[""Enginseer:"", "" While this model is within 3\"" of one or more friendly ASTRA MILITARUM VEHICLE units, this model has the Lone Operative ability.Omnissiah's Blessing: In your Command phase, select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds and, until the start of your next Command phase, that VEHICLE model has a 4+ invulnerable save. Each model can only be selected for this ability once per turn.""], [""Omnissiah’s Blessing:"", "" If a friendly ASTRA MILITARUM VEHICLE model is destroyed within 12\"" of this model, until the end of the battle, this model's Enginseer axe has an Attacks characteristic of 6.""], [""Vengeance for the Omnissiah:"", nil]]]","[[[""1"", ""45""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Munitorum Servitors"", ""Death Korps Grenadier Squad""]]"
