Name,M,T,Sv,W,Ld,OC
‘Iron Hand’ Straken,(⌀25mm),4+,records purged,6,3,3,4,7,1
Cadian Castellan,(⌀28mm),5+,records purged,6,3,5,4,7,1
CADIAN COMMANDER,(⌀28mm),0,records purged,6,3,5,3,7,1
VETERAN GUARDSMAN,(⌀28mm),0,records purged,6,3,5,1,7,1
Commissar,(⌀28mm),5+,records purged,6,3,5,3,6,1
TANITH GHOST,(⌀28mm),5+,records purged,6,3,5,2,7,1
IBRAM GAUNT,(⌀28mm),5+,records purged,6,3,4,3,6,1
Lord Solar Leontus,(⌀80mm),4+,records purged,12,4,3,8,6,2
TEMPESTUS SCION,Unknown,0,records purged,6,3,4,1,7,1
TEMPESTOR PRIME,Unknown,0,records purged,6,3,4,3,7,1
PLATOON COMMANDER,Unknown,0,records purged,6,3,5,3,7,1
VETERAN HEAVY WEAPONS TEAM,Unknown,0,records purged,6,3,5,2,7,2
VETERAN GUARDSMAN,Unknown,0,records purged,6,3,5,1,7,1
Primaris Psyker,(⌀32mm),0,records purged,6,3,5,3,7,1
Regimental Enginseer,(⌀32mm),5+,records purged,6,4,3,3,7,1
Regimental Preacher,(⌀25mm),4+,records purged,6,3,6,3,7,1
Sergeant Harker,(⌀25mm),0,records purged,6,4,5,3,7,1
Sly Marbo,(⌀32mm),0,records purged,6,3,5,4,7,1
Tank Commander,(⌀Use model),0,records purged,10,11,2,13,7,3
Ursula Creed,(⌀32mm),5+,records purged,6,3,4,4,7,1
Death Korps Marshal,(⌀25mm),5+,records purged,6,3,5,4,7,1
Death Rider Squadron Commander,(⌀40mm),5+,records purged,12,4,4,5,7,1
Death Rider Commissar,(⌀40mm),5+,records purged,12,4,4,4,6,1
QUARTERMASTER REVENANT,(⌀25mm),0,records purged,6,3,4,3,7,1
MEDICAE SERVITOR,(⌀25mm),0,records purged,6,3,4,1,8,0
Rein And Raus,(⌀25mm),0,records purged,6,2,6,1,8,1
Cadian Shock Troops,(⌀25mm),0,records purged,6,3,5,1,7,2
Catachan Jungle Fighters,(⌀25mm),0,records purged,6,3,5,1,7,2
Death Korps Of Krieg,(⌀25mm),0,records purged,6,3,5,1,7,2
GUARDSMAN,(⌀25mm),0,records purged,6,3,5,1,7,2
HEAVY WEAPONS TEAM,(⌀25mm),0,records purged,6,3,5,2,7,4
Chimera,(⌀Use model),0,records purged,10,9,3,11,7,2
Taurox,(⌀Use model),0,records purged,12,8,3,10,7,2
Taurox Prime,(⌀Use model),0,records purged,12,8,3,10,7,2
Storm Chimera,(⌀Use model),0,records purged,10,9,3,11,7,2
Aegis Defence Line,(⌀Use model),0,records purged,0,12,2,10,7,0
Earthshaker Platform,Unknown,0,records purged,0,8,3,8,7,2
Hydra Platform,(⌀Use model),0,records purged,0,8,3,8,7,2
Manticore Platform,(⌀Use model),0,records purged,0,8,3,8,7,2
Sabre Weapons Battery,(⌀Use model),0,records purged,0,4,4,4,7,1
Armoured Sentinels,(⌀80mm),0,records purged,8,8,2,7,7,2
Attilan Rough Riders,(⌀60 x 35mm),0,records purged,12,4,4,2,7,1
Baneblade,(⌀Use model),0,records purged,9,13,2,24,7,8
Banehammer,(⌀Use model),0,records purged,9,13,2,24,7,8
Banesword,(⌀Use model),0,records purged,9,13,2,24,7,8
Basilisk,(⌀Use model),0,records purged,10,9,3,11,7,3
Bullgryn Squad,(⌀40mm),0,records purged,6,6,4,3,7,1
Deathstrike,(⌀Use model),0,records purged,10,10,3,11,7,3
Doomhammer,(⌀Use model),0,records purged,9,13,2,24,7,8
Field Ordnance Battery,(⌀100mm),0,records purged,4,5,4,6,7,2
Heavy Weapons Squad,(⌀50mm),0,records purged,6,3,5,2,7,2
Hellhammer,(⌀Use model),0,records purged,9,13,2,24,7,8
Hellhound,(⌀Use model),0,records purged,10,10,2,11,7,3
Hydra,(⌀Use model),0,records purged,10,9,3,11,7,3
Kasrkin,(⌀28mm),0,records purged,6,3,4,1,7,1
Leman Russ Battle Tank,(⌀Use model),0,records purged,10,11,2,13,7,3
Leman Russ Demolisher,Unknown,0,records purged,10,11,2,13,7,3
Leman Russ Eradicator,Unknown,0,records purged,10,11,2,13,7,3
Leman Russ Executioner,Unknown,0,records purged,10,11,2,13,7,3
Leman Russ Exterminator,Unknown,0,records purged,10,11,2,13,7,3
Leman Russ Punisher,Unknown,0,records purged,10,11,2,13,7,3
Leman Russ Vanquisher,Unknown,0,records purged,10,11,2,13,7,3
Manticore,(⌀Use model),0,records purged,10,10,3,11,7,3
Munitorum Servitors,(⌀25mm),6+,records purged,6,3,4,1,8,0
Nork Deddog,(⌀40mm),0,records purged,6,6,4,6,7,1
Ogryn Bodyguard,(⌀40mm),0,records purged,6,6,5,6,7,1
Ogryn Squad,(⌀40mm),0,records purged,6,6,5,3,7,1
Ratling Snipers,(⌀25mm),0,records purged,6,2,6,1,8,1
Regimental Attachés,Unknown,0,records purged,6,3,5,1,7,1
Rogal Dorn Battle Tank,(⌀Use model),0,records purged,10,12,2,18,7,5
Scout Sentinels,(⌀80mm),0,records purged,10,7,3,7,7,2
Shadowsword,(⌀Use model),0,records purged,9,13,2,24,7,8
Stormlord,(⌀Use model),0,records purged,9,13,2,24,7,8
Stormsword,(⌀Use model),0,records purged,9,13,2,24,7,8
Tempestus Scions,(⌀25mm),0,records purged,6,3,4,1,7,1
Valkyrie,(⌀120 x 92mm flying base),0,records purged,10,2,14,7,0
Wyvern,(⌀Use model),0,records purged,10,9,3,11,7,3
Avenger Strike Fighter,(⌀120 x 92mm flying base),0,records purged,9,3,14,7,0
Carnodon,(⌀Use model),0,records purged,12,10,2,12,7,3
Colossus,(⌀Use model),0,records purged,10,10,2,11,7,3
Crassus,(⌀Use model),0,records purged,10,11,2,18,7,5
Cyclops Demolition Vehicle,(⌀Use model),0,records purged,8,4,3,4,8,0
Death Rider Squadron,(⌀40mm),0,records purged,12,4,4,2,7,1
Earthshaker Carriage Battery,(⌀Use model),0,records purged,4,7,4,6,7,2
Hades Breaching Drill,(⌀Use model),0,records purged,6,9,3,8,7,2
Macharius,(⌀Use model),0,records purged,9,13,2,20,7,8
Macharius Vanquisher,(⌀Use model),0,records purged,9,13,2,20,7,8
Macharius Vulcan,(⌀Use model),0,records purged,9,13,2,20,7,8
Malcador,(⌀Use model),0,records purged,10,11,2,18,7,5
Malcador Annihilator,(⌀Use model),0,records purged,10,11,2,18,7,5
Malcador Defender,(⌀Use model),0,records purged,10,11,2,18,7,5
