Name,M,T,Sv,W,Ld,OC
Anrakyr The Traveller(25mm),"5,5,2+,6,6+,1
C’tan Shard Of The Deceiver(40mm),"7,11,4+,12,6+,6
C’tan Shard Of The Nightbringer(40mm),"7,11,4+,12,6+,4
C’tan Shard Of The Void Dragon(80mm),"7,11,4+,12,6+,4
Catacomb Command Barge(Use model),"9,8,3+,9,6+,3
Chronomancer(40mm),"5,4,4+,4,6+,1
Hexmark Destroyer(50mm),"7,5,3+,5,6+,1
Illuminor Szeras(80mm),"7,8,2+,9,6+,3
Imotekh The Stormlord(25mm),"5,5,2+,5,6+,1
Lokhust Lord(60mm flying base),"7,6,3+,6,6+,2
Lord(32mm),"5,5,3+,4,6+,1
Nemesor Zahndrekh(25mm),"5,5,2+,6,7+,1
Orikan The Diviner(25mm),"5,4,4+,4,6+,1
Overlord(40mm),"5,5,2+,6,6+,1
Plasmancer(32mm),"5,4,4+,4,6+,1
Psychomancer(40mm),"5,4,4+,4,6+,1
Royal Warden(32mm),"5,5,3+,4,6+,1
Skorpekh Lord(60mm),"7,7,3+,6,6+,2
Technomancer(50mm),"5,4,4+,4,6+,1
The Silent King,"7,10,2+,16,5+,6
Transcendent C’tan(60mm flying base),"7,11,4+,12,6+,4
Trazyn The Infinite(25mm),"5,5,2+,6,6+,1
Vargard Obyron(25mm),"5,5,2+,5,6+,1
Immortals(32mm),"5,5,3+,1,7+,2
Necron Warriors(32mm),"5,4,4+,1,7+,2
Ghost Ark(60mm),"10,9,3+,14,7+,3
Convergence Of Dominion(Use model),-,11,2+,10,7+,0
Gauss Pylon(Use model),-,12,3+,22,7+,0
Sentry Pylon(Use model),-,8,3+,10,7+,0
Tomb Citadel Walls(Use model),-,13,2+,50,7+,0
Annihilation Barge(Use model),"9,8,3+,9,7+,3
Canoptek Doomstalker(90mm),"7,8,3+,12,8+,4
Canoptek Reanimator(60mm),"7,6,3+,6,7+,3
Canoptek Scarab Swarms(40mm),"9,2,6+,4,8+,0
Canoptek Spyders(60mm flying base),"5,7,3+,6,8+,2
Canoptek Wraiths(50mm),"9,6,3+,3,8+,2
Cryptothralls(32mm),"5,4,3+,2,8+,1
Deathmarks(32mm),"5,5,3+,1,7+,1
Doom Scythe(120 x 92mm flying base),N/A,9,3+,12,7+,0
Doomsday Ark(60mm flying base),"9,9,3+,14,6+,5
Flayed Ones(28mm),"5,4,4+,1,7+,1
Lokhust Destroyers(60mm flying base),"7,6,3+,3,7+,2
Lokhust Heavy Destroyers(60mm),"7,6,3+,4,7+,2
Lychguard(32mm),"5,5,3+,2,7+,1
Monolith(160mm),"7,14,2+,20,7+,8
Night Scythe(120 x 92mm flying base),N/A,9,3+,12,7+,0
Obelisk(120 x 92mm flying base),"7,14,2+,22,7+,8
Ophydian Destroyers(50mm),"9,5,4+,3,7+,2
Skorpekh Destroyers(50mm),"7,6,3+,3,7+,2
Tesseract Vault(120 x 92mm flying base),"7,12,2+,24,7+,8
Tomb Blades(32mm flying base),"12,5,4+,2,7+,2
Triarch Praetorians(32mm),"9,5,3+,2,7+,1
Triarch Stalker(Use model),"9,8,3+,12,7+,4
Canoptek Acanthrites(40mm),"12,5,3+,2,8+,2
Canoptek Tomb Sentinel(120 x 92mm),"10,9,3+,9,8+,3
Canoptek Tomb Stalker(120 x 92mm),"10,9,3+,9,8+,3
Seraptek Heavy Construct(Use model),"10,12,3+,24,7+,10
Tesseract Ark(60mm),"9,9,3+,10,6+,3
Night Shroud(120 x 92mm flying base),N/A,9,3+,14,7+,0
