Name,Weapon Name,Range,A,BS/WS,S,AP,D
Anrakyr The Traveller(⌀25mm),Tachyon arrow [one shot],N/A,N/A,N/A,N/A,N/A,N/A
Anrakyr The Traveller(⌀25mm),Tachyon arrow [one shot],"72,1,2+,16,-5,D6+2
Anrakyr The Traveller(⌀25mm),Warscythe [devastating wounds],N/A,N/A,N/A,N/A,N/A,N/A
Anrakyr The Traveller(⌀25mm),Warscythe [devastating wounds],Melee,4,2+,8,-3,2
C’tan Shard Of The Deceiver(⌀40mm),"Cosmic insanity [anti-character 4+, devastating wounds, precision]",N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Deceiver(⌀40mm),"Cosmic insanity [anti-character 4+, devastating wounds, precision]","18,6,2+,6,-2,1
C’tan Shard Of The Deceiver(⌀40mm),Golden fists,N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Deceiver(⌀40mm),Golden fists,Melee,8,2+,8,-3,3
C’tan Shard Of The Nightbringer(⌀40mm),Gaze of death [blast],N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Nightbringer(⌀40mm),Gaze of death [blast],"18,D3,2+,12,-2,D6+3
C’tan Shard Of The Nightbringer(⌀40mm),Scythe of the Nightbringer – strike [devastating wounds],N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Nightbringer(⌀40mm),Scythe of the Nightbringer – strike [devastating wounds],Melee,6,2+,14,-4,D6
C’tan Shard Of The Nightbringer(⌀40mm),Scythe of the Nightbringer – sweep,N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Nightbringer(⌀40mm),Scythe of the Nightbringer – sweep,Melee,14,2+,8,-2,2
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon [anti-vehicle 2+],N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon [anti-vehicle 2+],"12,1,2+,4,-3,D6+2
C’tan Shard Of The Void Dragon(⌀80mm),"Voltaic storm [blast, sustained hits 2]",N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Void Dragon(⌀80mm),"Voltaic storm [blast, sustained hits 2]","18,D6+3,2+,7,-1,2
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon – strike [anti-vehicle 2+],N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon – strike [anti-vehicle 2+],Melee,5,2+,12,-3,D6+2
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon – sweep,N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Void Dragon(⌀80mm),Spear of the Void Dragon – sweep,Melee,10,2+,8,-1,2
C’tan Shard Of The Void Dragon(⌀80mm),Canoptek tail blades [extra attacks],N/A,N/A,N/A,N/A,N/A,N/A
C’tan Shard Of The Void Dragon(⌀80mm),Canoptek tail blades [extra attacks],Melee,6,2+,6,-1,1
Catacomb Command Barge(⌀Use model),Gauss cannon [lethal hits],N/A,N/A,N/A,N/A,N/A,N/A
Catacomb Command Barge(⌀Use model),Gauss cannon [lethal hits],"24,3,3+,5,-2,2
Catacomb Command Barge(⌀Use model),Staff of light,N/A,N/A,N/A,N/A,N/A,N/A
Catacomb Command Barge(⌀Use model),Staff of light,"18,3,2+,5,-2,1
Catacomb Command Barge(⌀Use model),Tesla cannon [sustained hits 2],N/A,N/A,N/A,N/A,N/A,N/A
Catacomb Command Barge(⌀Use model),Tesla cannon [sustained hits 2],"24,4,3+,6,0,1
