Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
Broodlord,"[[""CORE"", "" Leader"", "" Scouts 8""]]","[[""FACTION"", "" Synapse""]]","[[[""Vicious Insight:"", "" While this model is leading a unit, weapons equipped by models in that unit have the [DEVASTATING WOUNDS] ability.""], [""Hypnotic Gaze (Psychic):"", "" At the start of the Fight phase, select one enemy unit within Engagement Range of this model. Until the end of the phase, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""90""]]]","[[""Genestealers""]]"
Deathleaper,"[[""CORE"", "" Fights First"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Synapse""]]","[[[""Feeder Tendrils:"", "" Each time this model destroys an enemy CHARACTER model, you gain 1CP.""], [""Fear of the Unseen (Aura):"", "" While an enemy unit is within 6\"" of this model, worsen the Leadership characteristic of models in that unit by 1. In addition, in the Battle-shock step of your opponent's Command phase, if such an enemy unit is below its Starting Strength, it must take a Battle-shock test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""70""]]]","[""BODYGUARD"", ""NA""]"
Hive Tyrant,"[[""CORE"", "" Deadly Demise D3"", "" Leader""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Will of the Hive Mind:"", "" Once per turn, one friendly Tyranids unit within 12\"" of one or more models with this ability can be targeted with a Stratagem for 0CP, even if another unit from your army has already been targeted with that Stratagem this phase.""], [""Onslaught (Aura, Psychic):"", "" While a friendly Tyranids unit is within 6\"" of this model, ranged weapons equipped by models in that unit have the [ASSAULT] ability.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""235""]]]","[[""Tyrant Guard""]]"
Neurotyrant,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Synapse"", "" Shadow in the Warp""]]","[[[""Node Lash (Psychic):"", "" While this model is leading a unit, each time a model in that unit makes an attack, add 1 to the Hit roll. If the target is Battle-shocked, add 1 to the Wound roll as well.""], [""Psychic Terror (Psychic):"", "" If one or more models from your army with this ability are on the battlefield when you unleash the Shadow in the Warp, subtract 1 from the Battle-shock test each enemy unit on the battlefield must take as a result.""], [""Neuroloids:"", "" In your Command phase, you can select up to two friendly Tyranids units within 18\"" of this model's unit. Until the start of your next Command phase, the selected units are always considered to be within Synapse Range of your army.Designer's Note: Place a Neuroloid token next to each selected unit to remind you.""], [""Designer’s Note:"", ""Place a Neuroloid token next to each selected unit to remind you.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""105""]]]","[[""Neurogaunts"", ""Tyrant Guard""]]"
Old One Eye,"[[""CORE"", "" Feel No Pain 5+"", "" Leader""]]","[[""FACTION"", "" Synapse""]]","[[[""Alpha Leader:"", "" While this model is leading a unit, each time a model in that unit makes an attack, you can re-roll the Hit roll.""], [""Unstoppable Monster:"", "" At the start of each player's Command phase, this model regains up to D3 lost wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""140""]]]","[[""Carnifexes""]]"
Parasite Of Mortrex,"[[""CORE"", "" Deep Strike"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Synapse""]]","[[[""Parasitic Infection:"", "" Each time an INFANTRY model is destroyed by an attack made with this model's barbed ovipositor, after this model has finished making its attacks, you can add one new Ripper Swarms unit to your army consisting of D3 models and set it up within 3\"" of this model. If you do, that RIPPER SWARMS unit can be set up within Engagement Range of the destroyed model's unit (but not within Engagement Range of any other enemy units).""], [""It Itches!:"", "" At the start of the Fight phase, select one enemy unit within Engagement Range of this model. That enemy unit must take a Battle-shock test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""80""]]]","[""BODYGUARD"", ""NA""]"
Tervigon,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Spawn Termagants:"", "" In your Command phase, you can select one friendly TERMAGANTS unit within 6\"" of this model and return up to D3+3 destroyed models to that unit. A TERMAGANTS unit cannot be selected for this ability more than once per phase.""], [""Brood Progenitor (Aura, Psychic):"", "" While a friendly TERMAGANTS unit is within 6\"" of this model, ranged weapons equipped by models in that unit have the [LETHAL HITS] ability.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""190""]]]","[""BODYGUARD"", ""NA""]"
The Swarmlord,"[[""CORE"", "" Deadly Demise D3"", "" Leader""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Hive Commander:"", "" At the start of your Command phase, if this model is on the battlefield, you gain 1CP.""], [""Malign Presence:"", "" Once per battle, after your opponent uses a Stratagem, if this model is your WARLORD and is on the battlefield, it can use this ability. If it does, until the end of the battle, increase that Stratagem's cost to your opponent by 1CP.""], [""Domination of the Hive Mind (Aura):"", "" While a friendly Tyranids unit is within 9\"" of this model, that unit is within your army's Synapse Range.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""270""]]]","[[""Tyrant Guard""]]"
Winged Hive Tyrant,"[[""CORE"", "" Deadly Demise D3"", "" Deep Strike""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Will of the Hive Mind:"", "" Once per turn, one friendly Tyranids unit within 12\"" of one or more models with this ability can be targeted with a Stratagem for 0CP, even if another unit from your army has already been targeted with that Stratagem this phase.""], [""Paroxysm (Psychic):"", "" At the start of the Fight phase, you can select one enemy unit within 12\"" of and visible to this model and roll one D6: on a 1, this PSYKER suffers D3 mortal wounds; on a 2+, until the end of the phase, subtract 1 from the Attacks characteristic of weapons equipped by models in that unit.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""210""]]]","[""BODYGUARD"", ""NA""]"
Winged Tyranid Prime,"[[""CORE"", "" Deep Strike"", "" Leader""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Alpha Warrior:"", "" While this model is leading a unit, weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Death Blow:"", "" If this model is destroyed by a melee attack, if it has not fought this phase, roll one D6: on a 4+, do not remove it from play. The destroyed model can fight after the attacking model's unit has finished making its attacks, and is then removed from play.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""65""]]]","[[""Gargoyles"", ""Tyranid Warriors With Melee Bio-weapons"", ""Tyranid Warriors With Ranged Bio-weapons""]]"
Gargoyles,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Winged Swarm:"", "" In your Shooting phase, after this unit has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move of up to 6\"". If it does, until the end of the turn, this unit is not eligible to declare a charge.""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""75""], [""20"", ""150""]]]","[""BODYGUARD"", ""NA""]"
Hormagaunts,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Bounding Leap:"", "" This unit is eligible to declare a charge in a turn in which it Advanced.""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""65""], [""20"", ""130""]]]","[""BODYGUARD"", ""NA""]"
Termagants,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Skulking Horrors:"", "" Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9\"" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to D6\"".""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""60""], [""20"", ""120""]]]","[""BODYGUARD"", ""NA""]"
Tyrannocyte,"[[""CORE"", "" Deadly Demise D3"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Aerial Seeding:"", "" This model must start the battle in Reserves, but neither it nor any units embarked within it are counted towards any limits placed on the maximum number of Reserves units you can start the battle with. This model can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules. Any units embarked within this model must immediately disembark after it has been set up on the battlefield, and they must be set up more than 9\"" away from all enemy models. After this model has been set up on the battlefield, no units can embark within it.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""105""]]]","[""BODYGUARD"", ""NA""]"
Barbgaunts,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Disruption Bombardment:"", "" In your Shooting phase, after this unit has shot, select one enemy INFANTRY unit hit by one or more of those attacks. Until the end of your opponent's next turn, that enemy unit is disrupted. While a unit is disrupted, subtract 2 from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]]","[""WARGEAR"", ""*""]","[[[""5"", ""60""], [""10"", ""120""]]]","[""BODYGUARD"", ""NA""]"
Biovores,"[[""CORE"", "" Deadly Demise 1""]]","[[""FACTION"", "" Synapse""]]","[[[""Seed Spore Mines:"", "" Once per turn, in your Shooting phase, when selected to shoot, one unit with this ability can use it instead of making any attacks with its ranged weapons. If it does, you can add one new SPORE MINES unit to your army and set it up anywhere on the battlefield that is wholly within 48\"" of this unit and more than 9\"" horizontally away from all enemy units. That SPORE MINES unit contains 1 model for each model in this unit.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""75""], [""2"", ""150""], [""3"", ""225""]]]","[""BODYGUARD"", ""NA""]"
Carnifexes,"[[""CORE"", "" Deadly Demise 1""]]","[[""FACTION"", "" Synapse""]]","[[[""Blistering Assault:"", "" Each time an enemy unit is selected to shoot, after that unit has shot, if any models from this unit lost one or more wounds as a result of those attacks, this unit can make a Blistering Assault move. If it does, roll one D6, adding 2 to the result: each model in this unit can be moved a distance in inches up to the result, but this unit must finish that move as close as possible to the closest enemy unit. When doing so, those models can be moved within Engagement Range of that enemy unit. Each unit can only make one Blistering Assault move per phase.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""125""], [""2"", ""250""]]]","[""BODYGUARD"", ""NA""]"
Exocrine,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Synapse""]]","[[[""Symbiotic Targeting:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the phase, each time a friendly Tyranids model makes an attack that targets that unit, re-roll a Hit roll of 1.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""135""]]]","[""BODYGUARD"", ""NA""]"
Genestealers,"[[""CORE"", "" Scouts 8""]]","[[""FACTION"", "" Synapse""]]","[[[""Vanguard Predator:"", "" Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target is within range of one or more objective markers, re-roll a Wound roll of 1 as well.""]]]","[""WARGEAR"", ""*""]","[[[""5"", ""85""], [""10"", ""170""]]]","[""BODYGUARD"", ""NA""]"
Harpy,"[[""CORE"", "" Deadly Demise D3"", "" Hover""]]","[[""FACTION"", "" Synapse""]]","[[[""Spore Mine Cysts:"", "" Each time this model ends a Normal move, you can select one of the following:Select one enemy unit it moved over during that move and roll six D6: for each 3+, that unit suffers 1 mortal wound.Add one new SPORE MINES unit containing D3 models to your army and set it up anywhere on the battlefield that is wholly within 6\"" of this model and more than 9\"" horizontally away from all enemy units. You cannot select this option for more than one model per turn.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""215""]]]","[""BODYGUARD"", ""NA""]"
Haruspex,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Synapse""]]","[[[""Grisly Spectacle:"", "" Each time this model is selected to fight, after resolving its attacks, if one or more enemy units were destroyed by those attacks, each enemy unit within 6\"" of this model must take a Battle-shock test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""125""]]]","[""BODYGUARD"", ""NA""]"
Hive Crone,"[[""CORE"", "" Deadly Demise D3"", "" Hover""]]","[[""FACTION"", "" Synapse""]]","[[[""Airborne Predator:"", "" Each time this model makes a ranged attack that targets a unit that can FLY, add 1 to the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""200""]]]","[""BODYGUARD"", ""NA""]"
Hive Guard,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Defensive Stance:"", "" Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or unmodified Hit rolls of 4+ instead if this unit is within range of an objective marker.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""110""], [""6"", ""220""]]]","[""BODYGUARD"", ""NA""]"
Lictor,"[[""CORE"", "" Fights First"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Synapse""]]","[[[""Feeder Tendrils:"", "" Each time this model destroys an enemy CHARACTER model, you gain 1CP.""], [""Pheromone Trail:"", "" Once per battle round, you can target one model with this ability with the Rapid Ingress Stratagem for 0CP.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""60""]]]","[""BODYGUARD"", ""NA""]"
