Name,Keyword
Broodlord,"[""INFANTRY"", "" CHARACTER"", "" PSYKER"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" BROODLORD""]"
Deathleaper,"[""INFANTRY"", "" CHARACTER"", "" EPIC HERO"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" DEATHLEAPER""]"
Hive Tyrant,"[""MONSTER"", "" CHARACTER"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" HIVE TYRANT""]"
Neurotyrant,"[""MONSTER"", "" CHARACTER"", "" FLY"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" NEUROTYRANT""]"
Old One Eye,"[""MONSTER"", "" CHARACTER"", "" EPIC HERO"", "" GREAT DEVOURER"", "" OLD ONE EYE""]"
Parasite Of Mortrex,"[""INFANTRY"", "" CHARACTER"", "" FLY"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" PARASITE OF MORTREX""]"
Tervigon,"[""MONSTER"", "" CHARACTER"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" TERVIGON""]"
The Swarmlord,"[""MONSTER"", "" CHARACTER"", "" EPIC HERO"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" HIVE TYRANT"", "" THE SWARMLORD""]"
Winged Hive Tyrant,"[""MONSTER"", "" CHARACTER"", "" PSYKER"", "" FLY"", "" GREAT DEVOURER"", "" SYNAPSE"", "" VANGUARD INVADER"", "" HIVE TYRANT"", "" WINGED HIVE TYRANT""]"
Winged Tyranid Prime,"[""INFANTRY"", "" CHARACTER"", "" FLY"", "" GREAT DEVOURER"", "" SYNAPSE"", "" VANGUARD INVADER"", "" WINGED TYRANID PRIME""]"
Gargoyles,"[""INFANTRY"", "" BATTLELINE"", "" FLY"", "" GREAT DEVOURER"", "" ENDLESS MULTITUDE"", "" VANGUARD INVADER"", "" GARGOYLES""]"
Hormagaunts,"[""INFANTRY"", "" BATTLELINE"", "" GREAT DEVOURER"", "" ENDLESS MULTITUDE"", "" HORMAGAUNTS""]"
Termagants,"[""INFANTRY"", "" BATTLELINE"", "" GREAT DEVOURER"", "" ENDLESS MULTITUDE"", "" TERMAGANTS""]"
Tyrannocyte,"[""MONSTER"", "" FLY"", "" TRANSPORT"", "" DEDICATED TRANSPORT"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" TYRANNOCYTE""]"
